ID,Header,Release_Year,Aggregate_Rating,Num_Figures
553,Zvezda Gauls (8012),2000,,40
554,Italeri Austrian and Russian Allied General Staff (6037),2003,33,39
555,Revell German Engineers (02508),1992,42,40
556,Atlantic Buffalo Hunt (1001),1975,16,
557,Nexus Buffalo Hunt (ATL17),,,20
558,Esci Colonial India British Infantry (232),1986,43,50
559,LW Soviet 45mm Anti-Tank Gun 1932 (21),,31,3
560,Revell Confederate Infantry (02558),1991,,50
561,Airfix NATO Ground Crew (01758),1981,43,48
562,Strelets Swedish Infantry of Charles XII (021),2004,42,44
563,MiniArt French Knights with Assault Ladders (72002),2003,38,32
564,HaT Nubian Infantry (8079),2004,30,48
565,HaT Sea Peoples (8078),2004,32,48
566,Strelets Russian Uhlans (015),2004,43,12
567,MiniArt French Foot Soldiers with Rams (72003),2003,35,22
568,Strelets Russian Dragoons of Peter I (010),2004,37,16
569,Atlantic Roman Legion (1515),1978,18,
570,HaT French Line Fusiliers (8041),2001,41,48
571,Revell German Paratroops (02521),2000,46,39
572,LW Russian 122mm Howitzer M30 (41),,,
573,HaT War Elephants (8023),1999,41,18
574,Orion Boxer Rebellion (72009),2004,49,42
575,Airfix Waterloo Highland Infantry (01735),1969,30,1
576,Esci Muslim Warriors (238),1987,41,50
577,Revell German Infantry (02504),1990,46,48
578,Atlantic Geronimo - Apache (1003),1975,22,
579,Italeri Arab Warriors (6055),1987,,50
580,Nexus Geronimo's Apaches (ATL04),,,15
581,Emhar Viking Warriors (7205),2004,45,50
583,IMEX Vikings (7214),,,
584,Airfix Modern Russians (01760),1982,34,48
585,HaT Numidian Cavalry (8024),1999,39,12
586,Revell Austrian Artillery (02579),1994,48,24
587,Atlantic Roman Cavalry (1516),1978,14,
588,Zvezda French Infantry (8021),1995,,50
589,Zvezda French Guard Horse Artillery (8023),2000,,11
590,Zvezda French Carabiniers (8033),,,
591,Italeri British and Prussian Allied General Staff (6065),2004,30,18
592,HaT Russian Dragoons (8012),1998,33,12
593,Airfix Waterloo British Artillery (01746),1972,34,14
595,Italeri British Infantry (6056),1982,,50
596,HaT Waterloo Lutzow Freikorps & Nassau Grenadiers (8097),2004,38,48
597,HaT Dacians (8069),2004,40,48
598,HaT Ancient Germans (8068),2004,27,48
599,Waterloo 1815 WWII Italian Infantry (007),1980,,48
600,A Call To Arms British Foot Artillery (64),2004,40,16
601,HaT Waterloo Netherlands Militia and Belgian Infantry (8096),2004,39,48
